metro_id,metro_name_std,province,statcan_reference_year,cmhc_rent_year,cmhc_vacancy_year,cmhc_rent_growth_year,rent_to_income,rent_growth_yoy,vacancy_rate,vacancy_stress,rent_to_income_scaled,rent_growth_yoy_scaled,vacancy_rate_scaled,vacancy_stress_scaled,asi_score,asi_components_used,asi_score_pc1,asi_weighting
3462,Montréal,Quebec,2012,2025,2025,2025,0.3323456790123457,7.2,2.9,-2.9,-0.12108439291237867,0.8440366972477065,-0.20000000000000018,0.20000000000000018,0.307651,3,0.931006,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3938,Nanaimo,British Columbia,2012,2025,2025,2025,,3.5,2.2,-2.2,,-0.5137614678899085,-0.8999999999999999,0.8999999999999999,0.193119,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3532,Oshawa,Ontario,2012,2025,2025,2025,0.32036529680365294,,3.7,-3.7,-0.26621202360361484,,0.6000000000000001,-0.6000000000000001,-0.433106,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3505,Ottawa-Gatineau,Ontario/Quebec,2012,2025,2025,2025,0.31303543913713405,4.05,3.4,-3.4,-0.3550042555971844,-0.3119266055045874,0.2999999999999998,-0.2999999999999998,-0.322310,3,0.354317,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3529,Peterborough,Ontario,2012,2025,2025,2025,,,3.1,-3.1,,,0.0,0.0,0.000000,1,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3421,Québec,Quebec,2012,2025,2025,2025,0.31661157024793385,6.1,2.4,-2.4,-0.31168381505439274,0.440366972477064,-0.7000000000000002,0.7000000000000002,0.276228,3,1.050295,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3830,Red Deer,Alberta,2012,2025,2025,2025,,5.8,3.5,-3.5,,0.330275229357798,0.3999999999999999,-0.3999999999999999,-0.034862,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3705,Regina,Saskatchewan,2012,2025,2025,2025,0.2841800643086817,4.2,2.7,-2.7,-0.7045517164888995,-0.25688073394495425,-0.3999999999999999,0.3999999999999999,-0.187144,3,0.891773,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3408,Saguenay,Quebec,2012,2025,2025,2025,,10.9,1.3,-1.3,,2.2018348623853212,-1.8,1.8,2.000917,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3310,Saint John,New Brunswick,2012,2025,2025,2025,,5.8,1.9,-1.9,,0.330275229357798,-1.2000000000000002,1.2000000000000002,0.765138,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3725,Saskatoon,Saskatchewan,2012,2025,2025,2025,0.33959780621572216,5.2,3.3,-3.3,-0.0332337701055515,0.110091743119266,0.19999999999999973,-0.19999999999999973,-0.041047,3,0.358397,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3433,Sherbrooke,Quebec,2012,2025,2025,2025,0.3178054862842893,9.8,2.7,-2.7,-0.2972209871927896,1.7981651376146792,-0.3999999999999999,0.3999999999999999,0.633648,3,1.608450,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3539,St. Catharines-Niagara,Ontario,2012,2025,2025,2025,0.34508474576271186,5.5,3.9,-3.9,0.03323377010555083,0.220183486238532,0.7999999999999998,-0.7999999999999998,-0.182194,3,0.150732,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3001,St. John's,Newfoundland and Labrador,2012,2025,2025,2025,0.29268817204301073,7.6,2.0,-2.0,-0.6014864306207213,0.9908256880733943,-1.1,1.1,0.496446,3,1.683057,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3595,Thunder Bay,Ontario,2012,2025,2025,2025,,6.8,4.0,-4.0,,0.6972477064220183,0.8999999999999999,-0.8999999999999999,-0.101376,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3535,Toronto,Ontario,2012,2025,2025,2025,0.41403035413153455,3.4,3.0,-3.0,0.868425220164047,-0.5504587155963305,-0.10000000000000009,0.10000000000000009,0.139322,3,-0.539823,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3442,Trois-Rivières,Quebec,2012,2025,2025,2025,,6.6,2.7,-2.7,,0.6238532110091741,-0.3999999999999999,0.3999999999999999,0.511927,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3933,Vancouver,British Columbia,2012,2025,2025,2025,0.5290298507462686,2.2,3.7,-3.7,2.261503018823219,-0.9908256880733947,0.6000000000000001,-0.6000000000000001,0.223559,3,-2.051274,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3935,Victoria,British Columbia,2012,2025,2025,2025,0.5322175732217573,5.1,3.3,-3.3,2.3001183653213633,0.07339449541284379,0.19999999999999973,-0.19999999999999973,0.724504,3,-1.409219,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3559,Windsor,Ontario,2012,2025,2025,2025,0.3627442827442827,3.6,3.7,-3.7,0.24715739262404274,-0.4770642201834864,0.6000000000000001,-0.6000000000000001,-0.276636,3,-0.285560,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3602,Winnipeg,Manitoba,2012,2025,2025,2025,0.38161943319838054,1.9,2.8,-2.8,0.47580668082089494,-1.1009174311926608,-0.30000000000000027,0.30000000000000027,-0.108370,3,-0.448373,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
